,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90
1,17.7897547823,0.8579303851,0.9799653229,0.7116632534,-0.0403102177,-0.0561232118,-0.469708136,-1.0297401647,-1.9014088526,-1.8328932353,17.7897547823,0.7008857356,0.6846950578,0.1392860541,-0.7197473105,-0.0561232118,-0.5041680037,-1.0302704714,-1.60560311,-1.6576209251,17.7897547823,0.6848310068,0.5705207113,0.3056359495,-0.4913875296,-0.0561232118,-0.4960537239,-0.9869887573,-1.8868716258,-1.8180708248,17.7897547823,0.7387985512,0.6174337131,0.2037472655,-0.9489031319,-0.0561232118,-0.6024905537,-0.9810604121,-1.8012104415,-1.3492093975,17.7897547823,0.7323247266,0.621147099,0.3808270836,-0.8944524785,-0.0561232118,-0.591576046,-0.9594778491,-1.9857138578,-1.3876194999,17.7897547823,0.7339280799,0.5907490931,0.2343525681,-0.9851145525,-0.0561232118,-0.5895679487,-0.9341791452,-1.866948175,-1.3057505338,17.7897547823,0.7280454813,0.5793391545,0.3250470654,-0.9134463872,-0.0561232118,-0.5872702569,-0.9296756742,-1.9253853444,-1.346014034,17.7897547823,0.7305778803,0.5840168516,0.231361519,-0.9960984945,-0.0561232118,-0.6080589439,-0.9573800145,-1.9244300922,-1.3249989083,17.7897547823,0.728257437,0.6025724935,0.3700385237,-0.8835841981,-0.0561232118,-0.5764286272,-0.9425842254,-1.9543217189,-1.3720889583
2,17.6875405473,0.7948556287,1.2699226732,1.032696571,0.5829809716,-0.1994107617,-0.1972275012,-1.0774553387,-1.6579463756,-1.5940023707,17.6875405473,0.5785302915,0.6878321758,0.4048173688,0.1698560308,-0.1994107617,-0.173195628,-0.8019203165,-1.4316968455,-2.2866505392,17.6875405473,0.5822428088,-0.2614957947,0.1659282969,0.3148693115,-0.1994107617,-0.1753108705,-0.0060844713,-1.4121002416,-2.2644523395,17.6875405473,0.5981175428,0.5166352052,0.1887344904,-0.0880509064,-0.1994107617,-0.1965844079,-0.6515781919,-1.1919466144,-1.5778404894,17.6875405473,0.596865048,0.3311124871,0.0943590013,-0.1930771051,-0.1994107617,-0.1855857581,-0.3484103947,-1.2878160219,-1.4502158788,17.6875405473,0.6012636672,0.5971421097,0.1526478943,-0.463998328,-0.1994107617,-0.2071081924,-0.7983289546,-1.2110309358,-1.1669756721,17.6875405473,0.5968596132,0.4820432121,0.0575490424,-0.272462737,-0.1994107617,-0.1881388825,-0.6866830358,-1.1175381417,-1.264820594,17.6875405473,0.6159374737,0.6120414296,0.1416611892,-0.4493255139,-0.1994107617,-0.2120938272,-0.8514805577,-1.2241640431,-1.2092577011,17.6875405473,0.5831286973,0.4763413343,0.0618249508,-0.2938233106,-0.1994107617,-0.1512432672,-0.6551578418,-1.0702349263,-1.2107609129
3,17.7857165585,1.1326632383,1.2981895463,1.0319911485,0.0841294484,-0.0209071239,-0.6893611618,-1.4121204089,-2.0358289386,-1.1459832852,17.7857165585,0.9574384018,1.0106902767,0.5974544225,-0.3735584739,-0.0209071239,-0.7456454107,-1.4512679456,-2.0574326834,-1.1418481432,17.7857165585,0.9419715533,0.8477587273,0.4370102827,-0.2123067586,-0.0209071239,-0.7555594214,-1.4467733581,-2.1409667362,-1.2181442886,17.7857165585,0.9449090597,1.0538334429,0.6922684729,-0.1028854587,-0.0209071239,-0.7305924237,-1.5578684231,-2.2536619423,-1.5145292338,17.7857165585,0.9208606073,1.0752660118,0.6539631987,-0.2299367788,-0.0209071239,-0.7046530572,-1.6641610921,-2.395309341,-1.4373703389,17.7857165585,0.9449087686,0.9421915568,0.5890412629,-0.4370648053,-0.0209071239,-0.7149501826,-1.4624586913,-2.1991928846,-1.4375284996,17.7857165585,0.9144407869,0.9297632572,0.5531999268,-0.3229061386,-0.0209071239,-0.6746211396,-1.4518622863,-2.1740215217,-1.4708613571,17.7857165585,0.9488701803,0.964559853,0.6026178271,-0.4525185615,-0.0209071239,-0.7029775525,-1.4600434206,-2.203354663,-1.4354369582,17.7857165585,0.9028730433,0.9473007913,0.5686348952,-0.3073752332,-0.0209071239,-0.671853782,-1.4702941106,-2.2045758078,-1.4515864863
4,17.6214064343,1.1656561094,1.3086810617,0.9150618007,0.5734603673,0.0337639681,-0.781510059,-1.1472944919,-1.8734621631,-1.6552359127,17.6214064343,0.8539505371,0.9221507682,0.518201671,0.2235931424,0.0337639681,-0.6959111478,-1.0392939165,-1.6726967779,-1.6019431664,17.6214064343,0.8743362686,0.8104582093,0.4080271755,0.2785326441,0.0337639681,-0.7133137304,-0.9944235681,-1.6001144101,-1.6318235696,17.6214064343,0.8351455624,0.8061795072,0.4700883999,0.0424751446,0.0337639681,-0.6558638626,-0.8512310791,-1.6339818845,-1.4392689895,17.6214064343,0.8847422183,0.7991490423,0.3888424607,0.014997441,0.0337639681,-0.7237951578,-0.8487065539,-1.6591580537,-1.4289506327,17.6214064343,0.8543029721,0.7548992604,0.3369994551,-0.1942309536,0.0337639681,-0.6900307873,-0.8231483969,-1.5388811239,-1.2886512455,17.6214064343,0.8923451565,0.8053730637,0.3174927099,-0.0399744021,0.0337639681,-0.7406933444,-0.8795355649,-1.5742302536,-1.3896692154,17.6214064343,0.8439749987,0.740384237,0.3350271233,-0.1654617028,0.0337639681,-0.6855074745,-0.8232786799,-1.5513635544,-1.3197033705,17.6214064343,0.8763952602,0.7870170041,0.3254129809,-0.0060146395,0.0337639681,-0.7268149075,-0.8483237156,-1.5907217967,-1.3953144673
5,17.5740051488,0.5430154702,1.178499488,0.7401367791,-0.0108128256,0.2616033746,-0.468969744,-1.5563597242,-2.0421671222,-1.5417955499,17.5740051488,0.3478070104,0.7783436169,0.1846271782,-0.3001855134,0.2616033746,-0.4767566246,-1.3997169207,-1.7358044825,-1.7679621926,17.5740051488,0.3339151236,0.5824081852,-0.2352988678,-0.2194125489,0.2616033746,-0.4723086756,-1.1977667553,-1.3740711748,-1.7323909537,17.5740051488,0.3580151071,0.8659592687,0.2996691938,-0.0384914363,0.2616033746,-0.4886849215,-1.5291469857,-1.880297825,-2.0101190152,17.5740051488,0.3388061825,0.8014540588,-0.0538021123,-0.2243064797,0.2616033746,-0.4660911085,-1.4354948125,-1.5199862883,-1.7882905638,17.5740051488,0.3363975299,0.8760825736,0.289106285,-0.5800381799,0.2616033746,-0.4643965648,-1.5988688375,-1.905282342,-1.4223384126,17.5740051488,0.3199422745,0.8878990649,0.1153947046,-0.4063774637,0.2616033746,-0.4493288479,-1.6046826278,-1.7644087278,-1.4904166959,17.5740051488,0.3292045402,0.8702520415,0.2867604852,-0.5704930735,0.2616033746,-0.4597576642,-1.6089791561,-1.9055058485,-1.4541952003,17.5740051488,0.3186231009,0.9164653529,0.168391291,-0.3702504696,0.2616033746,-0.4657108112,-1.6497875105,-1.7954409695,-1.4886251959
6,17.827315972,0.8902778523,1.2648917641,1.0420494233,0.4856813854,-0.3466919713,-0.5820980408,-1.2653076083,-1.7362020816,-1.280882407,17.827315972,0.7235179837,1.0128472502,0.687626786,0.1268907535,-0.3466919713,-0.6026394763,-1.212813096,-1.5613888377,-1.1375490016,17.827315972,0.7161766564,0.9394056507,0.5463102809,0.2559472692,-0.3466919713,-0.6126510109,-1.4890237014,-1.564264266,-1.2106867689,17.827315972,0.7248342725,1.0085062083,0.6962137773,0.1307010416,-0.3466919713,-0.6369030123,-1.3355377225,-1.6655882815,-1.1110597886,17.827315972,0.711213545,1.0150447482,0.3674629895,0.1024794779,-0.3466919713,-0.6093424571,-1.5058877787,-1.3987132848,-1.0975938339,17.827315972,0.715086806,0.9932296176,0.6683035744,0.0346913847,-0.3466919713,-0.6202998591,-1.3388282507,-1.7071269727,-1.1678493644,17.827315972,0.7016423538,0.8979350349,0.4436260502,0.1600510928,-0.3466919713,-0.5959844363,-1.276117329,-1.5332936998,-1.2029882965,17.827315972,0.6987275142,0.9499763705,0.644920283,-0.0165797723,-0.3466919713,-0.6089817905,-1.2983102079,-1.6811906807,-1.092908758,17.827315972,0.696344729,0.8936915091,0.4709824503,0.2453473795,-0.3466919713,-0.6032421991,-1.2620807039,-1.5407109772,-1.2728218459
7,17.7591674402,0.8540449716,0.8392183749,0.5150846873,0.6009177866,-0.1945712133,-0.3209071036,-0.4465891393,-0.9978022468,-1.5216632146,17.7591674402,0.6847986507,0.5871676427,0.2499817272,0.288993731,-0.1945712133,-0.302538714,-0.4272412407,-0.8930449927,-1.4984291417,17.7591674402,0.680368082,0.3611319959,0.0685123827,0.3881491775,-0.1945712133,-0.3034092075,-0.2375040762,-0.8735297535,-1.5680026355,17.7591674402,0.7399742108,0.6762693714,0.1712171492,0.4935537766,-0.1945712133,-0.3972418095,-0.6312361908,-0.8733245382,-1.7769710084,17.7591674402,0.7240586353,0.583682338,0.0202491628,0.350291758,-0.1945712133,-0.3754411116,-0.5292171612,-0.8068863823,-1.6316699131,17.7591674402,0.7302675995,0.6330973875,0.0854575716,0.1255091096,-0.1945712133,-0.3842860872,-0.6039965036,-0.8348344872,-1.4077942922,17.7591674402,0.7156120157,0.60046002,0.0008939536,0.212115613,-0.1945712133,-0.3642919461,-0.5863935038,-0.774004072,-1.4489677738,17.7591674402,0.7210286794,0.6201509787,0.0787936612,0.0818934349,-0.1945712133,-0.3729536112,-0.5874528319,-0.8278480729,-1.3996868669,17.7591674402,0.7302131594,0.641139692,0.0208601087,0.2356291712,-0.1945712133,-0.378013404,-0.6439827846,-0.8048569587,-1.5068534855
8,17.7684947816,0.6230078309,1.1725471768,0.7388040225,0.0195809376,-0.1062592191,-0.3195243376,-1.1619143285,-1.7872030492,-1.148126389,17.7684947816,0.4575234878,0.8999230838,0.1981463709,-0.5505086044,-0.1062592191,-0.3193979238,-1.0656563409,-1.4741627346,-0.8646627437,17.7684947816,0.4613192131,0.7651620719,0.0051555903,-0.3637700637,-0.1062592191,-0.3170610572,-1.0331387717,-1.6028962929,-0.9975646189,17.7684947816,0.4536858459,0.9062864723,0.2575615517,-0.2065815508,-0.1062592191,-0.3255330511,-1.1729946009,-1.6841673603,-1.4126588191,17.7684947816,0.4661244474,0.8463504205,0.0449926235,-0.2816667627,-0.1062592191,-0.3358447072,-1.1005036481,-1.5148231745,-1.3523521316,17.7684947816,0.4542854674,0.8938606065,0.2156996009,-0.4330447373,-0.1062592191,-0.3174001519,-1.2148627294,-1.7388129367,-1.3320850319,17.7684947816,0.4647749016,0.869533615,0.1531075273,-0.2372490401,-0.1062592191,-0.3271060518,-1.1890626235,-1.7067955997,-1.4289041006,17.7684947816,0.4539399818,0.8970833022,0.2243259635,-0.4754237537,-0.1062592191,-0.3257076942,-1.2353224932,-1.7602815397,-1.3015092351,17.7684947816,0.4549690756,0.8698403451,0.1886199712,-0.2010907313,-0.1062592191,-0.3273365101,-1.1862863403,-1.7244853744,-1.3971976329
9,17.71986824,0.750351397,0.9187577634,0.6950282006,0.1517368546,-0.061413034,-0.3669425472,-1.1481295362,-1.8871191657,-1.302102004,17.71986824,0.5753893809,0.5705662634,0.4396636995,-0.4306770539,-0.061413034,-0.3358731816,-1.084456359,-1.8651672786,-1.0939576949,17.71986824,0.5602856134,0.3659663351,0.4538439569,-0.2884345514,-0.061413034,-0.3416927405,-1.1133970412,-2.0677627669,-1.164519015,17.71986824,0.5587671565,0.6174091251,0.3824268008,-0.5995829302,-0.061413034,-0.2991912698,-1.1627776402,-1.8389676594,-0.9355884766,17.71986824,0.5311385951,0.6358870784,0.3659069395,-0.516152434,-0.061413034,-0.2753755595,-1.3207244777,-1.8782978053,-1.0597794772,17.71986824,0.5761064846,0.5796454842,0.3597938708,-0.5509263253,-0.061413034,-0.3404210455,-1.1512780469,-1.9092237017,-1.1403889813,17.71986824,0.547965134,0.5627570209,0.4590781856,-0.4522924756,-0.061413034,-0.3159187893,-1.1629847512,-1.9640694828,-1.1783288582,17.71986824,0.5730118968,0.5816197222,0.3651235652,-0.5390945568,-0.061413034,-0.3402781285,-1.1604161581,-1.9427524326,-1.1428227751,17.71986824,0.5329537642,0.5495600801,0.4607018767,-0.4509832185,-0.061413034,-0.302491697,-1.1243786215,-1.9210646843,-1.1171320471
10,17.767477263,0.6826519207,0.9494831833,0.7432145374,-0.1214634729,0.0877613982,-0.4787622739,-1.1054467701,-2.1372149108,-1.3795014667,17.767477263,0.5783136991,0.758433354,0.6179951706,-0.3591805037,0.0877613982,-0.4756423789,-1.0178714025,-2.1017926573,-1.4352367254,17.767477263,0.5151178764,0.5882566451,0.5970608135,-0.3258710413,0.0877613982,-0.4497582337,-0.9384035239,-2.2444262873,-1.4268174078,17.767477263,0.5995019987,0.7919503124,0.64081533,0.0002342245,0.0877613982,-0.5115258569,-1.1199275384,-2.1725275668,-1.9162018894,17.767477263,0.5674844424,0.7652642938,0.5374970618,-0.0875459137,0.0877613982,-0.5157401255,-1.1201233423,-2.1960406915,-1.8139175195,17.767477263,0.5905282926,0.7581707215,0.4631443786,-0.320718705,0.0877613982,-0.4953271876,-1.0960823331,-2.0184963609,-1.6427507991,17.767477263,0.5663278183,0.7669384317,0.4301077166,-0.1663892171,0.0877613982,-0.5119464162,-1.1032388779,-2.0169547324,-1.7365648872,17.767477263,0.5821695352,0.7575706589,0.4615639379,-0.2979690331,0.0877613982,-0.4839702453,-1.089586089,-2.0214665877,-1.6773567952,17.767477263,0.5795293743,0.7801200521,0.4509600056,-0.177912035,0.0877613982,-0.5237728515,-1.1218957891,-2.0324509579,-1.7612924311
